study_id,model,n_tickers,n_train_seq,n_val_seq,n_trade_seq,val_acc,val_auc,trade_acc,mean_return_%,std_return_%,sharpe_annual
1,GRU_multivar,139,56823,14206,34472,0.5054906377586935,0.5057146730308151,0.5039162218612206,-0.04152385613499016,0.6037053110518544,-1.0918750734678022
2,GRU_multivar,141,57640,14411,34968,0.5083616681701478,0.5099836159230268,0.5051189659116907,0.0441727361561466,0.6196010937273783,1.131728873124205
3,GRU_multivar,144,58867,14717,35712,0.49765577223618945,0.49591638730638077,0.4970038082437276,-0.015692013359964677,0.42214738181843325,-0.5900853594050183
4,GRU_multivar,147,60093,15024,36456,0.5015308839190629,0.4987030652670149,0.5011520737327189,0.03420336251383443,0.472502371967457,1.1491191991733858
5,GRU_multivar,148,60502,15126,36704,0.4988099960333201,0.4992783666303821,0.5022068439407149,0.05349695313169406,0.5268555125969695,1.6118988660302533
6,GRU_multivar,156,63772,15944,38688,0.5040140491721024,0.5004965952162458,0.5029983457402812,0.020651402206327336,0.5756865388012343,0.5694606781303698
7,GRU_multivar,159,64999,16250,39432,0.5031384615384615,0.5066178301789879,0.5016737674984784,-0.003199263648127929,0.5234773194706854,-0.09701802553777797
8,GRU_multivar,161,65816,16455,39928,0.5015496809480401,0.49945393378947195,0.5034061310358645,0.011357335628529626,0.5559461344774278,0.3242978097972857
9,GRU_multivar,168,68678,17170,41664,0.4996505532906232,0.5021518664244198,0.5014160906298003,0.03533454643202078,0.5423451953400622,1.0342463436753444
10,GRU_multivar,172,70313,17579,42656,0.5081631492121281,0.5081583971824751,0.5027194298574643,0.7490333696591946,6.356100202840002,1.8707282357708555
