study_id,model,n_tickers,n_train_seq,n_val_seq,n_trade_seq,val_acc,val_auc,trade_acc,mean_return_%,std_return_%,sharpe_annual
1,LSTM_2layer,139,56823,14206,34472,0.4984513585808813,0.497142311648953,0.5032780227430959,-0.004193694598675153,0.6666442232567745,-0.09986261873037111
1,LSTM_1layer,139,56823,14206,34472,0.5052794593833592,0.50919872792883,0.5010733348804827,-0.017113080619896723,0.656403578315747,-0.413863881753549
2,LSTM_2layer,141,57640,14411,34968,0.5038512247588648,0.5033206648552881,0.5029169526424159,-0.03681392245074393,0.575614957936778,-1.0152670521830025
2,LSTM_1layer,141,57640,14411,34968,0.5006592186524182,0.5038196992618498,0.503631892015557,0.05855578388304731,0.5987779605158794,1.5524022478600767
3,LSTM_2layer,144,58867,14717,35712,0.4966365427736631,0.49447694926748265,0.49988799283154123,-0.04592005367754318,0.4613099006364881,-1.5801920841571446
3,LSTM_1layer,144,58867,14717,35712,0.4966365427736631,0.4944857862373014,0.49504368279569894,-0.04373440206066124,0.4488761295407629,-1.5466674742851878
4,LSTM_2layer,147,60093,15024,36456,0.5029286474973376,0.4974018417990215,0.5031819179284617,-0.011390507532727957,0.5161647265169824,-0.3503120072744595
4,LSTM_1layer,147,60093,15024,36456,0.5020633652822151,0.4994202321428461,0.5031819179284617,0.04926711640264712,0.4874460226459638,1.6044673472617337
5,LSTM_2layer,148,60502,15126,36704,0.5072722464630438,0.5070974936096901,0.5051493025283348,0.05998734175136631,0.5603760062757404,1.6993402962495252
5,LSTM_1layer,148,60502,15126,36704,0.5005288906518577,0.49566764727730844,0.5031604184829991,0.0529835241210451,0.5335331484813999,1.576448197909463
6,LSTM_2layer,156,63772,15944,38688,0.5060210737581535,0.5041819455511538,0.5021453680727874,0.08069661257062306,0.5609241277324517,2.283765214774647
6,LSTM_1layer,156,63772,15944,38688,0.5038258906171601,0.5047791988766323,0.5016542597187759,0.028178291838234903,0.6364917158654152,0.7027845049628392
7,LSTM_2layer,159,64999,16250,39432,0.5049230769230769,0.5049939501036601,0.5013440860215054,-0.0003134301878901759,0.508120958043629,-0.009792058179183993
7,LSTM_1layer,159,64999,16250,39432,0.5051076923076923,0.5042740814453954,0.5014962467031853,-0.05269134627667179,0.5469943826468409,-1.5291732739778752
8,LSTM_2layer,161,65816,16455,39928,0.4996657550896384,0.4941094806608938,0.5065618112602684,0.018415897197529445,0.7355612795872039,0.3974424878547552
8,LSTM_1layer,161,65816,16455,39928,0.4993618960802188,0.5000959678861061,0.506762171909437,0.039471444017560586,0.5710852908542629,1.0971911877070961
9,LSTM_2layer,168,68678,17170,41664,0.5039021549213745,0.5003116302033662,0.50170410906298,0.06607354912954162,0.5665331720477753,1.8514098152907463
9,LSTM_1layer,168,68678,17170,41664,0.501863715783343,0.5022287648320645,0.5040562596006144,0.04588478242547152,0.5637280477005866,1.2921094533644768
